,object_code,predicted_datetime,predict_value,version,input_version,flags,record_time,inc_day,model_version,object_type
0,010Y,2022-02-23,1323596.1778331732,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-23,T28-prophet,pickup
1,010Y,2022-02-24,1301988.9043423347,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-24,T28-prophet,pickup
2,010Y,2022-02-25,1295092.479769349,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-25,T28-prophet,pickup
3,010Y,2022-02-26,1143615.780969531,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
4,010Y,2022-02-27,972946.3212603444,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
5,010Y,2022-02-28,1152501.815171553,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
6,010Y,2022-03-01,1279220.9122892967,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
7,010Y,2022-03-02,1308646.3242346293,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
8,010Y,2022-03-03,1287039.0507437782,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
9,010Y,2022-03-04,1280142.6261709235,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
10,010Y,2022-03-05,1128665.9273709117,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
11,010Y,2022-03-06,957996.467661845,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
12,010Y,2022-03-07,1137551.9615732348,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
13,010Y,2022-03-08,1264271.0586908846,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
14,010Y,2022-03-09,1293696.4706362337,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
15,010Y,2022-03-10,1272089.197145351,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-10,T28-prophet,pickup
16,010Y,2022-03-11,1265192.7725721863,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-11,T28-prophet,pickup
17,010Y,2022-03-12,1113716.0737721703,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-12,T28-prophet,pickup
18,010Y,2022-03-13,943046.6140634094,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-13,T28-prophet,pickup
19,010Y,2022-03-14,1122602.107974013,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-14,T28-prophet,pickup
20,010Y,2022-03-15,1249321.2050923952,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-15,T28-prophet,pickup
21,010Y,2022-03-16,1278746.6170376898,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-16,T28-prophet,pickup
22,010Y,2022-03-17,1257139.3435469235,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-17,T28-prophet,pickup
23,010Y,2022-03-18,1250242.9189737607,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-18,T28-prophet,pickup
24,010Y,2022-03-19,1098766.220173551,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-19,T28-prophet,pickup
25,010Y,2022-03-20,928096.7604649735,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-20,T28-prophet,pickup
26,010Y,2022-03-21,1107652.2543756869,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-21,T28-prophet,pickup
27,010Y,2022-03-22,1234371.3514940601,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-22,T28-prophet,pickup
28,010Y,2022-03-23,1263796.7634391459,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-23,T28-prophet,pickup
29,020Y,2022-02-23,932103.1585227313,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-23,T28-prophet,pickup
30,020Y,2022-02-24,934691.4690182736,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-24,T28-prophet,pickup
31,020Y,2022-02-25,912382.5165410312,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-25,T28-prophet,pickup
32,020Y,2022-02-26,775090.3591490528,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
33,020Y,2022-02-27,625703.509903313,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
34,020Y,2022-02-28,787275.111576766,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
35,020Y,2022-03-01,862446.2474350659,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
36,020Y,2022-03-02,886574.2883923434,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
37,020Y,2022-03-03,889162.5988878319,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
38,020Y,2022-03-04,866853.6464107445,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
39,020Y,2022-03-05,729561.4890185961,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
40,020Y,2022-03-06,580174.6397729728,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
41,020Y,2022-03-07,741746.2414465755,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
42,020Y,2022-03-08,816917.3773047805,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
43,020Y,2022-03-09,841045.418261999,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
44,020Y,2022-03-10,843633.7287575566,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-10,T28-prophet,pickup
45,020Y,2022-03-11,821324.7762801419,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-11,T28-prophet,pickup
46,020Y,2022-03-12,684032.618888028,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-12,T28-prophet,pickup
47,020Y,2022-03-13,534645.7696426756,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-13,T28-prophet,pickup
48,020Y,2022-03-14,696217.371315645,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-14,T28-prophet,pickup
49,020Y,2022-03-15,771388.5071743911,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-15,T28-prophet,pickup
50,020Y,2022-03-16,795516.5481316112,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-16,T28-prophet,pickup
51,020Y,2022-03-17,798104.8586272812,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-17,T28-prophet,pickup
52,020Y,2022-03-18,775795.9061498551,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-18,T28-prophet,pickup
53,020Y,2022-03-19,638503.7487575714,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-19,T28-prophet,pickup
54,020Y,2022-03-20,489116.8995123785,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-20,T28-prophet,pickup
55,020Y,2022-03-21,650688.5011854206,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-21,T28-prophet,pickup
56,020Y,2022-03-22,725859.6370442099,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-22,T28-prophet,pickup
57,020Y,2022-03-23,749987.6780012232,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-23,T28-prophet,pickup
58,021Y,2022-02-23,1569649.5751260256,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-23,T28-prophet,pickup
59,021Y,2022-02-24,1565188.6707362141,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-24,T28-prophet,pickup
60,021Y,2022-02-25,1534081.2719245225,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-25,T28-prophet,pickup
61,021Y,2022-02-26,1240251.2982617859,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
62,021Y,2022-02-27,1007606.2880014915,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
63,021Y,2022-02-28,1296803.2365528096,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
64,021Y,2022-03-01,1496954.5065115634,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
65,021Y,2022-03-02,1534260.3300202305,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
66,021Y,2022-03-03,1529799.4256303143,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
67,021Y,2022-03-04,1498692.026818791,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
68,021Y,2022-03-05,1204862.053155816,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
69,021Y,2022-03-06,972217.0428957645,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
70,021Y,2022-03-07,1261413.9914473211,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
71,021Y,2022-03-08,1461565.2614059155,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
72,021Y,2022-03-09,1498871.0849145565,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
73,021Y,2022-03-10,1494410.1805246575,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-10,T28-prophet,pickup
74,021Y,2022-03-11,1463302.7817126983,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-11,T28-prophet,pickup
75,021Y,2022-03-12,1169472.8080496981,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-12,T28-prophet,pickup
76,021Y,2022-03-13,936827.7977901241,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-13,T28-prophet,pickup
77,021Y,2022-03-14,1226024.7463404166,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-14,T28-prophet,pickup
78,021Y,2022-03-15,1426176.0163001947,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-15,T28-prophet,pickup
79,021Y,2022-03-16,1463481.8398087614,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-16,T28-prophet,pickup
80,021Y,2022-03-17,1459020.9354190005,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-17,T28-prophet,pickup
81,021Y,2022-03-18,1427913.536606967,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-18,T28-prophet,pickup
82,021Y,2022-03-19,1134083.5629437277,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-19,T28-prophet,pickup
83,021Y,2022-03-20,901438.5526844834,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-20,T28-prophet,pickup
84,021Y,2022-03-21,1190635.5012349356,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-21,T28-prophet,pickup
85,021Y,2022-03-22,1390786.77119462,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-22,T28-prophet,pickup
86,021Y,2022-03-23,1428092.594702966,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-23,T28-prophet,pickup
87,022Y,2022-02-23,299843.47152284737,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-23,T28-prophet,pickup
88,022Y,2022-02-24,304836.25709149404,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-24,T28-prophet,pickup
89,022Y,2022-02-25,315296.58101545955,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-25,T28-prophet,pickup
90,022Y,2022-02-26,296151.7181586729,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
91,022Y,2022-02-27,239557.2929685595,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
92,022Y,2022-02-28,246308.56199893256,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
93,022Y,2022-03-01,306564.23637689557,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
94,022Y,2022-03-02,291311.36089058704,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
95,022Y,2022-03-03,296304.14645919483,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
96,022Y,2022-03-04,306764.47038319125,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
97,022Y,2022-03-05,287619.6075263737,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
98,022Y,2022-03-06,231025.18233630137,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
99,022Y,2022-03-07,237776.4513667549,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
100,022Y,2022-03-08,298032.1257446762,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
101,022Y,2022-03-09,282779.25025840674,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
102,022Y,2022-03-10,287772.0358269543,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-10,T28-prophet,pickup
103,022Y,2022-03-11,298232.3597510033,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-11,T28-prophet,pickup
104,022Y,2022-03-12,279087.4968941241,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-12,T28-prophet,pickup
105,022Y,2022-03-13,222493.07170399427,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-13,T28-prophet,pickup
106,022Y,2022-03-14,229244.34073432733,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-14,T28-prophet,pickup
107,022Y,2022-03-15,289500.01511243585,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-15,T28-prophet,pickup
108,022Y,2022-03-16,274247.13962614635,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-16,T28-prophet,pickup
109,022Y,2022-03-17,279239.92519471364,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-17,T28-prophet,pickup
110,022Y,2022-03-18,289700.249118735,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-18,T28-prophet,pickup
111,022Y,2022-03-19,270555.3862618249,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-19,T28-prophet,pickup
112,022Y,2022-03-20,213960.96107168714,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-20,T28-prophet,pickup
113,022Y,2022-03-21,220712.2301021107,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-21,T28-prophet,pickup
114,022Y,2022-03-22,280967.9044802375,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-22,T28-prophet,pickup
115,022Y,2022-03-23,265715.028993886,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-23,T28-prophet,pickup
116,023Y,2022-02-23,518840.1794226264,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-23,T28-prophet,pickup
117,023Y,2022-02-24,518614.6988181097,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-24,T28-prophet,pickup
118,023Y,2022-02-25,511586.79132079426,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-25,T28-prophet,pickup
119,023Y,2022-02-26,461936.1026249718,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-26,T28-prophet,pickup
120,023Y,2022-02-27,413237.1050566561,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-27,T28-prophet,pickup
121,023Y,2022-02-28,437883.48764990864,1,T+28,1,2023-07-05 17:34:12.604853,2022-02-28,T28-prophet,pickup
122,023Y,2022-03-01,466998.1654113021,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-01,T28-prophet,pickup
123,023Y,2022-03-02,511568.0043032666,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-02,T28-prophet,pickup
124,023Y,2022-03-03,511342.52369873814,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-03,T28-prophet,pickup
125,023Y,2022-03-04,504314.6162014431,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-04,T28-prophet,pickup
126,023Y,2022-03-05,454663.9275055733,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-05,T28-prophet,pickup
127,023Y,2022-03-06,405964.9299372646,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-06,T28-prophet,pickup
128,023Y,2022-03-07,430611.3125305484,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-07,T28-prophet,pickup
129,023Y,2022-03-08,459725.9902919632,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-08,T28-prophet,pickup
130,023Y,2022-03-09,504295.8291838231,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-09,T28-prophet,pickup
131,023Y,2022-03-10,504070.3485793811,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-10,T28-prophet,pickup
132,023Y,2022-03-11,497042.4410819828,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-11,T28-prophet,pickup
133,023Y,2022-03-12,447391.7523861199,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-12,T28-prophet,pickup
134,023Y,2022-03-13,398692.7548179171,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-13,T28-prophet,pickup
135,023Y,2022-03-14,423339.13741105556,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-14,T28-prophet,pickup
136,023Y,2022-03-15,452453.81517262483,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-15,T28-prophet,pickup
137,023Y,2022-03-16,497023.65406446334,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-16,T28-prophet,pickup
138,023Y,2022-03-17,496798.173460024,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-17,T28-prophet,pickup
139,023Y,2022-03-18,489770.2659626315,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-18,T28-prophet,pickup
140,023Y,2022-03-19,440119.57726672135,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-19,T28-prophet,pickup
141,023Y,2022-03-20,391420.5796985697,1,T+28,1,2023-07-05 17:34:12.604853,2022-03-20,T28-prophet,pickup
