iter	RMSE
0	1.113797185
1	1.077433615
2	1.043216838
3	1.010954547
4	0.9814445939
5	0.9540513954
6	0.9299305103
7	0.9064374018
8	0.8868430014
9	0.8650613095
10	0.846295811
11	0.8280071343
12	0.8120042258
13	0.7965199799
14	0.783492665
15	0.7706423864
16	0.7570165044
17	0.745479319
18	0.7361183596
19	0.727621558
20	0.7193662827
21	0.7115114493
22	0.7048869234
23	0.6954627205
24	0.6866495514
25	0.6784106302
26	0.6719845507
27	0.6665986365
28	0.6596891886
29	0.6531794606
30	0.6491295411
31	0.6452826812
32	0.6404266838
33	0.6372058772
34	0.6338638119
35	0.6311008815
36	0.6271624925
37	0.6215547947
38	0.6165255551
39	0.6127119522
40	0.6101340475
41	0.6077620654
42	0.6041431696
43	0.6016730904
44	0.5996830449
45	0.5954303126
46	0.5935059385
47	0.5906556889
48	0.5864461233
49	0.5839810564
50	0.5814274049
51	0.5794876182
52	0.5765121452
53	0.5749697068
54	0.5722177769
55	0.5712357651
56	0.5695278789
57	0.5682595637
58	0.5672522975
59	0.5662538215
60	0.5635777372
61	0.562237848
62	0.5611603912
63	0.5598762222
64	0.5581308394
65	0.5566446113
66	0.5553051168
67	0.5540259448
68	0.5519783702
69	0.550255687
70	0.5490987505
71	0.5477240942
72	0.5470706861
73	0.5457586612
74	0.5449680923
75	0.5440754674
76	0.5434089757
77	0.5425507971
78	0.5415548544
79	0.5406792831
80	0.5397407696
81	0.5388189149
82	0.5380625402
83	0.5375401832
84	0.5368811816
85	0.5358678119
86	0.5348733921
87	0.5340773389
88	0.533253377
89	0.5327614281
90	0.5319281288
91	0.5312652214
92	0.5301515547
93	0.5290187744
94	0.5284918047
95	0.527532098
96	0.526913149
97	0.5261874551
98	0.5252489136
99	0.5245259064
100	0.522993251
101	0.5222243249
102	0.521734911
103	0.5211891649
104	0.5201540249
105	0.5188346622
106	0.5180366894
107	0.5170916482
108	0.5163603383
109	0.5157543986
110	0.5154023931
111	0.5145229763
112	0.5139450673
113	0.5132999728
114	0.5127862695
115	0.5123736893
116	0.5116847222
117	0.5111868879
118	0.5106817656
119	0.5101986256
120	0.5096859089
121	0.5092753308
122	0.5086887189
123	0.5077042335
124	0.5073223476
125	0.5069436299
126	0.5059872267
127	0.5054990518
128	0.5050857737
129	0.5044107693
130	0.5037952244
131	0.503151069
132	0.5024894873
133	0.5016455963
134	0.5009931497
135	0.5005612699
136	0.5001228077
137	0.4998440116
138	0.4990922258
139	0.4987663739
140	0.4980846566
141	0.4974117716
142	0.4967118346
143	0.4960732608
144	0.4958050537
145	0.4955362201
146	0.4951949375
147	0.4946471089
148	0.4942999441
149	0.4933991634
150	0.4928542245
151	0.4922599107
152	0.4916690407
153	0.49129517
154	0.4907058057
155	0.4902483425
156	0.4899032314
157	0.4894362526
158	0.488942082
159	0.4885505176
160	0.4881248938
161	0.4874138949
162	0.4869925547
163	0.4863681538
164	0.4859190271
165	0.4851604051
166	0.4848351753
167	0.484397674
168	0.4838774661
169	0.4833891663
170	0.4824834537
171	0.482052791
172	0.481813902
173	0.4812762323
174	0.480691095
175	0.480383935
176	0.4801194291
177	0.4796372766
178	0.4793446478
179	0.4789317786
180	0.4783071937
181	0.4777703452
182	0.4773619343
183	0.4770813417
184	0.476768575
185	0.476378494
186	0.4758704528
187	0.4754512225
188	0.4750711232
189	0.4747794752
190	0.4740627487
191	0.4736624096
192	0.4730609084
193	0.4727859262
194	0.4720765847
195	0.4717225342
196	0.4712082833
197	0.4708794963
198	0.4705598011
199	0.4700686061
200	0.4696757913
201	0.469311506
202	0.4688969878
203	0.4685527535
204	0.4683344245
205	0.4679885992
206	0.4676188354
207	0.4673513614
208	0.466765302
209	0.4663913275
210	0.4659102385
211	0.4656141813
212	0.4651954827
213	0.4648731644
214	0.464602625
215	0.4641394287
216	0.4637085467
217	0.46340959
218	0.4630957524
219	0.4626080177
220	0.4623785249
221	0.4620640013
222	0.46130709
223	0.4608618314
224	0.4604491113
225	0.4600792998
226	0.4597069926
227	0.459428903
228	0.4591634694
229	0.458848798
230	0.458478841
231	0.4581856776
232	0.4577813176
233	0.4574447715
234	0.4572362977
235	0.4570174926
236	0.4566070539
237	0.4562339553
238	0.4560034707
239	0.4556471761
240	0.4553757294
241	0.4550404583
242	0.4546851088
243	0.4544281894
244	0.4541702157
245	0.4538254281
246	0.4535402589
247	0.4532686522
248	0.4528630279
249	0.4525186271
250	0.4521623077
251	0.4518821703
252	0.4516659551
253	0.451388056
254	0.451106671
255	0.4504878954
256	0.4502021698
257	0.4499590646
258	0.4492484863
259	0.4490270831
260	0.4487090165
261	0.4484137759
262	0.4481778865
263	0.4478671015
264	0.4475344126
265	0.4468851506
266	0.4466413936
267	0.4464137209
268	0.4459130652
269	0.4457381728
270	0.4454249091
271	0.4451553005
272	0.4449382334
273	0.4443320825
274	0.4439519094
275	0.4436675426
276	0.4433202573
277	0.4429738103
278	0.4427711952
279	0.4424684512
280	0.4422106059
281	0.4419959795
282	0.4417779647
283	0.4415389379
284	0.4412886259
285	0.4409798128
286	0.4407180023
287	0.4405011105
288	0.4401730417
289	0.4399011118
290	0.4396720174
291	0.4394966708
292	0.4392634199
293	0.4389525246
294	0.4386284117
295	0.4383537341
296	0.4381127368
297	0.4376591469
298	0.4373369722
299	0.4368088805
300	0.4365879357
301	0.4363300587
302	0.4361057026
303	0.4358555044
304	0.4356200627
305	0.4352928506
306	0.4350786323
307	0.4348189237
308	0.4345602856
309	0.4343658502
310	0.4340855105
311	0.4336758644
312	0.433339022
313	0.4331477391
314	0.4329899697
315	0.4327318192
316	0.4323544633
317	0.432101585
318	0.4319393244
319	0.4316875469
320	0.431410774
321	0.4310118513
322	0.4308055714
323	0.4305364588
324	0.4300592345
325	0.4297917222
326	0.4294516077
327	0.429253114
328	0.429045819
329	0.428669668
330	0.428446339
331	0.4282704323
332	0.427947905
333	0.4275910409
334	0.4274234249
335	0.4272185174
336	0.4270390967
337	0.4268775567
338	0.426562073
339	0.4264250948
340	0.4261146571
341	0.4259511739
342	0.4257691724
343	0.4255564695
344	0.4253637826
345	0.4251087445
346	0.4248839186
347	0.4246101535
348	0.4244342531
349	0.4241342229
350	0.4239437877
351	0.4236756416
352	0.4233992625
353	0.4232163472
354	0.4230623111
355	0.4228471828
356	0.4224702469
357	0.4221721594
358	0.421941113
359	0.4217395751
360	0.4215769732
361	0.4213806069
362	0.4212578117
363	0.4211194008
364	0.4209534517
365	0.4207662302
366	0.4206307684
367	0.4204812767
368	0.4203284847
369	0.4201922517
370	0.420009504
371	0.419796555
372	0.4196367568
373	0.4194804319
374	0.4193241785
375	0.4191815044
376	0.4190438654
377	0.418873432
378	0.4185073621
379	0.4182534631
380	0.4179736254
381	0.4178190174
382	0.4176763807
383	0.4175031854
384	0.4173160938
385	0.4171165186
386	0.4170047595
387	0.4168165612
388	0.4166134149
389	0.4164003092
390	0.4161983902
391	0.4159828475
392	0.4158660352
393	0.4155601217
394	0.4154426638
395	0.4152008293
396	0.4150379386
397	0.4149044433
398	0.4147710105
399	0.414592913
400	0.4144309265
401	0.4142210685
402	0.4140221987
403	0.4138673478
404	0.4136423464
405	0.4134355944
406	0.413253609
407	0.4130354022
408	0.4128179423
409	0.4126125432
410	0.4124377111
411	0.4122469657
412	0.4120129931
413	0.411849631
414	0.4116284949
415	0.4115515177
416	0.4113929168
417	0.4111614101
418	0.4110066006
419	0.410783889
420	0.4105680151
421	0.4104108946
