iter	Passed	Remaining
0	62	62068
1	67	33615
2	72	23928
3	76	19076
4	93	18557
5	100	16570
6	105	15002
7	115	14294
8	123	13563
9	132	13100
10	138	12416
11	145	11943
12	199	15123
13	208	14703
14	226	14876
15	235	14481
16	244	14153
17	252	13763
18	262	13570
19	269	13222
20	282	13165
21	384	17113
22	393	16705
23	398	16219
24	426	16614
25	439	16460
26	445	16038
27	458	15919
28	463	15528
29	470	15214
30	475	14856
31	487	14744
32	492	14419
33	496	14118
34	510	14068
35	515	13791
36	520	13547
37	527	13345
38	534	13164
39	540	12973
40	546	12792
41	554	12644
42	560	12477
43	570	12384
44	579	12307
45	587	12193
46	595	12078
47	605	12002
48	612	11883
49	617	11728
50	623	11601
51	628	11455
52	631	11291
53	636	11143
54	639	10987
55	643	10846
56	646	10702
57	650	10565
58	656	10471
59	661	10363
60	666	10252
61	671	10161
62	675	10050
63	679	9934
64	683	9828
65	686	9714
66	690	9621
67	694	9516
68	698	9419
69	701	9322
70	705	9230
71	708	9135
72	712	9046
73	716	8965
74	719	8877
75	723	8796
76	727	8718
77	731	8641
78	734	8565
79	738	8495
80	742	8421
81	745	8348
82	750	8287
83	754	8226
84	757	8159
85	761	8092
86	776	8147
87	780	8093
88	785	8042
89	789	7984
90	793	7922
91	797	7867
92	800	7811
93	804	7756
94	808	7700
95	812	7648
96	815	7591
97	819	7540
98	823	7490
99	826	7439
100	830	7390
101	834	7344
102	837	7294
103	841	7247
104	845	7205
105	848	7158
106	852	7114
107	856	7070
108	860	7034
109	866	7007
110	869	6964
111	873	6922
112	877	6884
113	880	6842
114	884	6805
115	887	6765
116	891	6730
117	897	6704
118	900	6666
119	903	6628
120	907	6595
121	912	6567
122	916	6533
123	920	6499
124	924	6469
125	927	6433
126	931	6402
127	935	6370
128	938	6338
129	942	6306
130	946	6280
131	950	6249
132	953	6217
133	959	6198
134	964	6180
135	968	6149
136	971	6122
137	975	6092
138	979	6069
139	983	6041
140	987	6013
141	990	5985
142	994	5959
143	997	5932
144	1001	5905
145	1005	5880
146	1008	5852
147	1012	5827
148	1015	5802
149	1020	5783
150	1024	5757
151	1028	5737
152	1031	5711
153	1036	5693
154	1039	5667
155	1045	5657
156	1049	5633
157	1053	5614
158	1059	5604
159	1063	5580
160	1067	5560
161	1070	5539
162	1074	5519
163	1079	5502
164	1085	5492
165	1091	5483
166	1101	5494
167	1114	5519
168	1136	5588
169	1146	5598
170	1152	5589
171	1160	5585
172	1168	5586
173	1185	5628
174	1198	5649
175	1218	5706
176	1249	5811
177	1265	5843
178	1283	5886
179	1300	5924
180	1311	5935
181	1324	5953
182	1331	5943
183	1344	5961
184	1360	5991
185	1367	5983
186	1373	5972
187	1379	5959
188	1386	5949
189	1397	5958
190	1407	5959
191	1417	5964
192	1426	5965
193	1433	5957
194	1437	5936
195	1441	5912
196	1446	5894
197	1449	5871
198	1455	5860
199	1460	5842
200	1463	5819
201	1468	5800
202	1471	5778
203	1476	5759
204	1479	5737
205	1483	5717
206	1486	5695
207	1490	5674
208	1494	5655
209	1498	5635
210	1501	5614
211	1504	5593
212	1513	5591
213	1517	5572
214	1520	5552
215	1525	5536
216	1530	5523
217	1535	5507
218	1539	5490
219	1544	5477
220	1549	5460
221	1552	5441
222	1556	5425
223	1560	5405
224	1564	5388
225	1569	5374
226	1574	5361
227	1578	5343
228	1581	5324
229	1585	5306
230	1589	5290
231	1593	5273
232	1596	5256
233	1600	5238
234	1604	5222
235	1607	5205
236	1612	5189
237	1615	5172
238	1618	5154
239	1623	5141
240	1627	5127
241	1631	5110
242	1635	5095
243	1638	5077
244	1643	5064
245	1647	5048
246	1650	5032
247	1654	5016
248	1658	5002
249	1662	4986
250	1665	4970
251	1669	4955
252	1673	4940
253	1676	4924
254	1680	4908
255	1684	4895
256	1687	4879
257	1691	4865
258	1695	4850
259	1699	4836
260	1702	4821
261	1706	4808
262	1710	4793
263	1715	4781
264	1721	4774
265	1725	4760
266	1728	4745
267	1732	4732
268	1736	4717
269	1740	4705
270	1744	4692
271	1748	4679
272	1752	4665
273	1755	4652
274	1760	4640
275	1764	4628
