iter	RMSE
0	1.104257186
1	1.062132614
2	1.022207707
3	0.985578316
4	0.9537494173
5	0.9235908982
6	0.8946725298
7	0.8693481058
8	0.847263894
9	0.8251574303
10	0.8057658323
11	0.7873799601
12	0.7716143371
13	0.7545197994
14	0.7417053009
15	0.7292014962
16	0.7174302837
17	0.7067300028
18	0.6980159323
19	0.6871406849
20	0.6786405393
21	0.6719650903
22	0.6637617494
23	0.6577029096
24	0.6495861355
25	0.6438123493
26	0.6365186275
27	0.6320946407
28	0.625715756
29	0.6192933211
30	0.6160644832
31	0.6128314154
32	0.6087703806
33	0.6059114235
34	0.6009222119
35	0.5975433357
36	0.5943969491
37	0.5920259248
38	0.5895494345
39	0.5874754368
40	0.5848962742
41	0.5830042707
42	0.5800196878
43	0.5765165327
44	0.5748471891
45	0.5714890336
46	0.5676967925
47	0.5655132376
48	0.5638471496
49	0.5616239606
50	0.5600297146
51	0.5588672095
52	0.55646728
53	0.554147471
54	0.5520937003
55	0.5508905217
56	0.5494944082
57	0.5485805441
58	0.5470898528
59	0.5460996353
60	0.5450015362
61	0.5437659147
62	0.5426999013
63	0.5412392399
64	0.5398570617
65	0.5388647324
66	0.5382701854
67	0.5371345337
68	0.5359854725
69	0.5354272614
70	0.5340492664
71	0.5321409828
72	0.531253752
73	0.5305914331
74	0.5298254019
75	0.5284058368
76	0.5266715676
77	0.5255094654
78	0.5242303863
79	0.5232931457
80	0.522054271
81	0.5212841858
82	0.5202275286
83	0.5191331126
84	0.5184307963
85	0.5176566003
86	0.5171332042
87	0.5154344077
88	0.5150367315
89	0.5146209212
90	0.5139582242
91	0.5134638545
92	0.5127703075
93	0.5116675424
94	0.5111055304
95	0.5101172444
96	0.5093245302
97	0.5086400027
98	0.5076695077
99	0.5070762889
100	0.506237618
101	0.5058656028
102	0.5053197728
103	0.5046208813
104	0.5043487937
105	0.5039303355
106	0.5032557822
107	0.5029182781
108	0.5021333139
109	0.5016341128
110	0.5007553416
111	0.5000480681
112	0.4992600454
113	0.4985134717
114	0.498105009
115	0.4976750415
116	0.4972405779
117	0.4966182624
118	0.495971331
119	0.495228807
120	0.494706152
121	0.4941819159
122	0.4937677053
123	0.493204289
124	0.4925146171
125	0.4920277064
126	0.4912368841
127	0.4908011008
128	0.4898576319
129	0.4894687418
130	0.4890472945
131	0.488353368
132	0.487680544
133	0.4869997099
134	0.4857445815
135	0.4852158449
136	0.4846500508
137	0.4843131811
138	0.4839137222
139	0.4833945193
140	0.4827123853
141	0.4822251796
142	0.481641349
143	0.4807908596
144	0.4802769512
145	0.4798958756
146	0.4794845998
147	0.4788395201
148	0.4782637396
149	0.4777954985
150	0.4771239329
151	0.4763531634
152	0.475381809
153	0.4748714948
154	0.4741960199
155	0.4737747524
156	0.4733608437
157	0.4728577489
158	0.4723777108
159	0.4718072704
160	0.471268157
161	0.4702432658
162	0.4697715985
163	0.4691940644
164	0.4689072881
165	0.4684312433
166	0.4680050877
167	0.4675848883
168	0.4671112182
169	0.4665797642
170	0.4660938601
171	0.465723756
172	0.4651727692
173	0.4646856768
174	0.4641851788
175	0.463519215
176	0.4631127208
177	0.462770744
178	0.4622019243
179	0.461721393
180	0.4610807549
181	0.4605999825
182	0.460287834
183	0.4598665971
184	0.4593344858
185	0.4589798594
186	0.4585846338
187	0.458130975
188	0.4576864616
189	0.4569222691
190	0.4564938726
