iter	RMSE
0	1.113452758
1	1.076403031
2	1.040969222
3	1.008371788
4	0.9788922551
5	0.9515838571
6	0.9247003564
7	0.9001280807
8	0.8778984531
9	0.8559243912
10	0.8370809733
11	0.8193220357
12	0.8039389393
13	0.7893026905
14	0.7759102134
15	0.7622045773
16	0.7511463751
17	0.7402252615
18	0.7304534065
19	0.7192693248
20	0.71048417
21	0.7020815416
22	0.6950149448
23	0.6869115604
24	0.677958254
25	0.6717269188
26	0.663554353
27	0.6579794173
28	0.6513783338
29	0.644289231
30	0.6404279747
31	0.6365073371
32	0.6324667136
33	0.6270903369
34	0.6218587998
35	0.6181000597
36	0.6146632611
37	0.6114514131
38	0.60686021
39	0.6047685425
40	0.6023928127
41	0.599107765
42	0.5956922276
43	0.5940591232
44	0.5903866629
45	0.5871100564
46	0.5848920452
47	0.5829392438
48	0.5811142082
49	0.5797971528
50	0.5779836339
51	0.5760680729
52	0.5728107911
53	0.5712607327
54	0.5684901511
55	0.5671624028
56	0.5656465352
57	0.5633774761
58	0.5623850493
59	0.5612589752
60	0.5595153835
61	0.5582292121
62	0.5575608164
63	0.5558936389
64	0.5543739567
65	0.5526790358
66	0.5510575724
67	0.5499701446
68	0.5480239954
69	0.5468950232
70	0.5458665778
71	0.5446308248
72	0.5437735334
73	0.5431562356
74	0.5422668797
75	0.5414839624
76	0.5409694285
77	0.5398640207
78	0.5384799357
79	0.5379008413
80	0.5373079503
81	0.5358446828
82	0.5347289977
83	0.5335350549
84	0.5328746566
85	0.5315741083
86	0.5310186178
87	0.5302641936
88	0.529691857
89	0.5293298083
90	0.5284450871
91	0.5279480882
92	0.5267820319
93	0.5256433701
94	0.5248930883
95	0.5238534582
96	0.5232739704
97	0.5224879652
98	0.5212003378
99	0.5207276065
100	0.5191548557
101	0.5186843889
102	0.5180672148
103	0.517383674
104	0.5166712516
105	0.5161160952
106	0.5155570769
107	0.5147691732
108	0.5139602101
109	0.5131568618
110	0.5124698884
111	0.5118560785
112	0.5111384535
113	0.51039724
114	0.5095379217
115	0.5091264411
116	0.5085465725
117	0.5079478467
118	0.5073577646
119	0.5066993147
120	0.5062447775
121	0.5057297636
122	0.5049586774
123	0.5043559426
124	0.5037461585
125	0.5032846579
126	0.5027167158
127	0.5022370503
128	0.5018873953
129	0.5015571932
130	0.5008567288
131	0.5004086613
132	0.4997309322
133	0.4992539085
134	0.4987152537
135	0.4982772749
136	0.4979422017
137	0.497422255
138	0.496655848
139	0.4963339774
140	0.4958448172
141	0.4951369106
142	0.4946585313
143	0.4940095731
144	0.4933734607
145	0.4927964551
146	0.4922627824
147	0.4910133014
148	0.4905672896
149	0.4899859147
150	0.4894168156
151	0.4888888386
152	0.4886301921
153	0.4881862569
154	0.4874703655
155	0.4869202259
156	0.4865137576
157	0.4861143528
158	0.4856433106
159	0.4852066155
160	0.4847352557
161	0.48435975
162	0.4838133198
163	0.4835167841
164	0.4831161928
165	0.4827016801
166	0.4818953713
167	0.4812809878
168	0.4808544387
169	0.4804783744
170	0.4802274865
171	0.4798917039
172	0.4795352144
173	0.4791408449
174	0.4785343273
175	0.4776495612
176	0.4772893308
177	0.4768948523
178	0.4764955607
179	0.4753641485
180	0.475050216
181	0.4743393697
182	0.4739855392
183	0.4735258494
184	0.4731480188
185	0.472584251
186	0.4721563302
187	0.4717986559
188	0.4713533634
189	0.4709537799
190	0.4705984239
191	0.4702551788
192	0.4698850455
193	0.4695749089
194	0.4691764935
195	0.4688141656
196	0.4685523721
197	0.468219557
198	0.4678342787
199	0.4674971307
200	0.4670786066
201	0.466530717
202	0.4662668741
203	0.4658533618
204	0.4654840626
205	0.4652399951
206	0.4649011087
207	0.4644837896
208	0.4642408088
209	0.4638657059
210	0.4634727719
211	0.4631233135
212	0.4624611865
213	0.4621266824
214	0.4617035476
