iter	Passed	Remaining
0	7	7240
1	18	9230
2	23	7898
3	28	7206
4	35	7037
5	51	8486
6	67	9518
7	73	9065
8	80	8810
9	188	18684
10	195	17570
11	215	17703
12	221	16832
13	252	17781
14	259	17036
15	267	16453
16	272	15771
17	280	15311
18	290	14978
19	303	14862
20	322	15016
21	330	14691
22	341	14514
23	348	14191
24	364	14217
25	378	14184
26	386	13945
27	394	13685
28	439	14727
29	455	14737
30	473	14802
31	498	15078
32	565	16572
33	583	16572
34	592	16337
35	600	16089
36	612	15938
37	625	15825
38	675	16643
39	708	17005
40	723	16915
41	733	16731
42	742	16528
43	776	16874
44	787	16702
45	800	16595
46	814	16507
47	833	16522
48	848	16472
49	861	16377
50	1007	18749
51	1014	18488
52	1021	18248
53	1039	18215
54	1056	18153
55	1071	18057
56	1086	17975
57	1093	17764
58	1110	17707
59	1120	17560
60	1128	17368
61	1146	17348
62	1153	17161
63	1198	17534
64	1214	17463
65	1228	17379
66	1243	17310
67	1252	17169
68	1259	16988
69	1267	16837
70	1277	16720
71	1286	16575
72	1294	16437
73	1304	16325
74	1316	16236
75	1325	16117
76	1331	15963
77	1337	15807
78	1343	15657
79	1348	15505
80	1355	15374
81	1367	15309
82	1375	15193
83	1380	15056
84	1386	14930
85	1394	14825
86	1403	14724
87	1409	14608
88	1416	14495
89	1422	14379
90	1427	14260
91	1434	14156
92	1440	14050
93	1447	13949
94	1458	13892
95	1465	13801
96	1471	13701
97	1480	13630
98	1489	13552
99	1499	13497
100	1505	13397
101	1514	13334
102	1519	13235
103	1526	13147
104	1531	13057
105	1541	12999
106	1547	12917
107	1553	12833
108	1567	12814
109	1628	13172
110	1637	13116
111	1646	13052
112	1657	13009
113	1675	13019
114	1713	13186
115	1723	13131
116	1736	13105
117	1746	13051
118	1757	13008
119	1774	13014
120	1784	12960
121	1794	12913
122	1802	12853
123	1811	12797
124	1824	12771
125	1873	12996
126	1888	12981
127	1901	12955
128	1911	12905
129	1920	12851
130	1929	12798
131	1935	12729
132	1947	12696
133	1955	12639
134	1968	12614
135	1990	12645
136	2006	12638
137	2019	12612
138	2030	12576
139	2039	12531
140	2051	12496
141	2065	12477
142	2101	12596
143	2119	12597
144	2130	12561
145	2137	12500
146	2148	12468
147	2157	12418
148	2172	12409
149	2179	12351
150	2186	12296
151	2193	12238
152	2202	12194
153	2208	12134
154	2215	12078
155	2221	12017
156	2227	11959
157	2234	11909
158	2292	12126
159	2327	12221
160	2375	12377
161	2393	12383
162	2402	12337
163	2410	12286
164	2418	12236
165	2424	12179
166	2431	12126
167	2438	12077
168	2443	12017
169	2449	11960
170	2456	11911
171	2467	11879
172	2477	11845
173	2486	11805
174	2498	11777
175	2517	11786
176	2523	11735
177	2536	11714
178	2552	11709
179	2565	11685
180	2572	11641
181	2579	11594
182	2585	11544
183	2592	11497
184	2597	11444
185	2605	11402
186	2610	11351
187	2617	11306
188	2625	11264
189	2630	11215
190	2638	11176
191	2649	11147
192	2674	11182
193	2686	11162
194	2692	11114
195	2700	11079
196	2706	11032
197	2713	10989
198	2723	10963
199	2731	10927
200	2738	10886
201	2745	10847
202	2756	10824
203	2764	10787
204	2772	10750
205	2786	10739
206	2796	10711
207	2807	10691
208	2822	10682
209	2832	10656
210	2850	10659
211	2855	10615
212	2875	10624
213	2887	10605
214	2896	10574
215	2901	10532
216	2908	10496
217	2915	10459
218	2921	10418
219	2930	10391
220	2937	10353
221	2944	10320
222	2950	10282
223	2961	10261
224	2969	10227
225	2976	10194
226	2982	10156
227	2989	10121
228	2994	10083
229	3002	10051
230	3008	10015
231	3015	9981
232	3024	9955
233	3031	9922
234	3040	9896
235	3048	9867
236	3060	9851
237	3066	9818
238	3079	9805
239	3087	9776
240	3097	9754
241	3120	9774
242	3141	9787
243	3152	9767
244	3168	9763
245	3288	10078
246	3445	10504
247	3471	10526
248	3480	10498
249	3495	10486
250	3507	10465
251	3532	10485
252	3543	10461
253	3558	10451
254	3587	10481
255	3622	10527
256	3636	10512
257	3647	10488
258	3664	10483
259	3695	10516
260	3702	10482
261	3749	10561
262	3767	10557
263	3778	10535
264	3784	10497
265	3793	10467
266	3798	10428
267	3806	10397
268	3812	10361
269	3818	10324
270	3825	10289
271	3830	10251
272	3838	10220
273	3843	10185
274	3848	10146
275	3856	10116
276	3865	10089
277	3878	10071
278	3889	10051
279	3902	10035
280	3918	10027
281	3932	10012
282	3941	9984
283	3946	9950
284	3951	9912
285	3959	9884
286	3964	9848
287	3971	9817
288	3977	9785
289	3982	9749
290	3990	9721
291	3998	9693
292	4006	9668
293	4012	9635
294	4019	9606
295	4025	9573
296	4029	9537
297	4037	9510
298	4042	9476
299	4046	9441
300	4053	9414
301	4058	9380
302	4063	9347
303	4068	9314
304	4075	9287
305	4083	9262
306	4090	9234
307	4100	9212
308	4107	9186
309	4120	9171
310	4130	9150
311	4135	9119
312	4143	9094
313	4149	9064
314	4154	9035
315	4161	9008
316	4166	8976
317	4174	8951
318	4179	8922
319	4183	8890
320	4192	8868
321	4197	8838
322	4204	8812
323	4210	8784
324	4214	8754
325	4223	8731
326	4228	8702
327	4235	8676
328	4240	8649
329	4245	8619
330	4251	8592
331	4255	8563
332	4266	8545
333	4272	8519
334	4295	8527
335	4301	8500
336	4312	8483
337	4317	8455
338	4325	8434
339	4331	8407
340	4335	8379
341	4342	8355
342	4347	8327
343	4355	8306
344	4361	8281
345	4368	8256
346	4375	8233
347	4383	8212
348	4392	8192
349	4397	8166
350	4404	8144
351	4410	8119
352	4417	8096
353	4421	8069
354	4428	8046
355	4432	8018
356	4436	7990
357	4443	7967
358	4447	7940
359	4455	7920
360	4467	7908
361	4477	7890
362	4482	7865
363	4487	7840
364	4496	7822
365	4503	7801
366	4512	7782
367	4518	7759
368	4524	7736
369	4530	7714
370	4535	7689
371	4543	7670
372	4549	7647
373	4555	7624
374	4567	7611
375	4578	7597
376	4585	7577
377	4593	7558
378	4608	7551
379	4624	7544
380	4635	7531
381	4646	7517
382	4659	7506
383	4676	7502
384	4697	7503
385	4715	7500
386	4723	7481
387	4730	7461
388	4735	7438
389	4742	7418
390	4746	7393
391	4751	7369
392	4755	7345
393	4762	7324
394	4769	7304
395	4776	7285
