,date,object_code,trips
0,2021-11-14,010Y,2034393
1,2021-11-15,010Y,1665905
2,2021-11-16,010Y,1559682
3,2021-11-17,010Y,1281395
4,2021-11-18,010Y,1088840
5,2021-11-19,010Y,1273988
6,2021-11-20,010Y,1614643
7,2021-11-21,010Y,1047683
8,2021-11-22,010Y,1253178
9,2021-11-23,010Y,1295515
10,2021-11-24,010Y,1443038
11,2021-11-25,010Y,1402539
12,2021-11-26,010Y,1404564
13,2021-11-28,010Y,947522
14,2021-11-29,010Y,1252739
15,2021-11-30,010Y,1279692
16,2021-12-01,010Y,1405501
17,2021-12-02,010Y,1399108
18,2021-12-03,010Y,1419850
19,2021-12-04,010Y,1163177
20,2021-12-05,010Y,884009
21,2021-12-06,010Y,1297840
22,2021-12-07,010Y,1368974
23,2021-12-08,010Y,1416418
24,2021-12-09,010Y,1404430
25,2021-12-10,010Y,1211825
26,2021-12-11,010Y,1238168
27,2021-12-12,010Y,1031270
28,2021-12-13,010Y,1659601
29,2021-12-14,010Y,1912567
30,2021-12-15,010Y,1873245
31,2021-12-16,010Y,1510869
32,2021-12-17,010Y,1653472
33,2021-12-18,010Y,1293075
34,2021-12-19,010Y,967221
35,2021-12-20,010Y,1245622
36,2021-12-21,010Y,1331403
37,2021-12-22,010Y,1431192
38,2021-12-23,010Y,1438237
39,2021-12-24,010Y,1403089
40,2021-12-25,010Y,1267251
41,2021-12-26,010Y,1005491
42,2021-12-27,010Y,1392075
43,2021-12-28,010Y,1372841
44,2021-12-29,010Y,1462959
45,2021-12-30,010Y,1490227
46,2021-12-31,010Y,1412296
47,2022-01-01,010Y,1125836
48,2022-01-02,010Y,805590
49,2022-01-03,010Y,763795
50,2022-01-04,010Y,1203838
51,2022-01-05,010Y,1355916
52,2022-01-06,010Y,1458447
53,2022-01-07,010Y,1477272
54,2022-01-08,010Y,1018389
55,2022-01-09,010Y,1017976
56,2022-01-10,010Y,1310416
57,2022-01-11,010Y,1534731
58,2022-01-12,010Y,1694615
59,2022-01-13,010Y,1747514
60,2022-01-14,010Y,1647651
61,2022-01-15,010Y,1605748
62,2022-01-16,010Y,1382585
63,2022-01-17,010Y,1624430
64,2022-01-18,010Y,1725169
65,2022-01-19,010Y,1758433
66,2022-01-20,010Y,1842658
67,2022-01-21,010Y,1888066
68,2022-01-22,010Y,1587079
69,2022-01-23,010Y,1747550
70,2022-01-24,010Y,2052506
71,2022-01-25,010Y,2052748
72,2022-01-26,010Y,1999508
73,2022-01-27,010Y,1948534
74,2022-01-28,010Y,1717241
75,2022-01-29,010Y,1372308
76,2022-01-30,010Y,911419
77,2022-01-31,010Y,583798
78,2022-02-01,010Y,353070
79,2022-02-02,010Y,245581
80,2022-02-03,010Y,212492
81,2022-02-04,010Y,279186
82,2022-02-05,010Y,383732
83,2022-02-06,010Y,430336
84,2022-02-07,010Y,572739
85,2022-02-08,010Y,902971
86,2022-02-09,010Y,1144831
87,2022-02-10,010Y,1298931
88,2022-02-11,010Y,1432154
89,2022-02-12,010Y,1352148
